path,actor_id,sentence,emotion,level,split
data\processed\1023_DFA_NEU_XX.npy,1023,DFA,NEU,XX,test
data\processed\1008_DFA_NEU_XX.npy,1008,DFA,NEU,XX,dev
data\processed\1028_DFA_HAP_XX.npy,1028,DFA,HAP,XX,dev
data\processed\1025_DFA_SAD_XX.npy,1025,DFA,SAD,XX,dev
data\processed\1017_DFA_DIS_XX.npy,1017,DFA,DIS,XX,dev
data\processed\1032_DFA_SAD_XX.npy,1032,DFA,SAD,XX,dev
data\processed\1039_DFA_NEU_XX.npy,1039,DFA,NEU,XX,dev
data\processed\1030_DFA_NEU_XX.npy,1030,DFA,NEU,XX,dev
data\processed\1032_DFA_NEU_XX.npy,1032,DFA,NEU,XX,dev
data\processed\1028_DFA_ANG_XX.npy,1028,DFA,ANG,XX,dev
data\processed\1015_DFA_NEU_XX.npy,1015,DFA,NEU,XX,dev
data\processed\1001_DFA_HAP_XX.npy,1001,DFA,HAP,XX,dev
data\processed\1042_DFA_ANG_XX.npy,1042,DFA,ANG,XX,dev
data\processed\1003_DFA_DIS_XX.npy,1003,DFA,DIS,XX,dev
data\processed\1040_DFA_SAD_XX.npy,1040,DFA,SAD,XX,dev
data\processed\1041_DFA_ANG_XX.npy,1041,DFA,ANG,XX,dev
data\processed\1006_DFA_NEU_XX.npy,1006,DFA,NEU,XX,dev
data\processed\1049_DFA_FEA_XX.npy,1049,DFA,FEA,XX,dev
data\processed\1031_DFA_NEU_XX.npy,1031,DFA,NEU,XX,dev
data\processed\1020_DFA_HAP_XX.npy,1020,DFA,HAP,XX,dev
data\processed\1040_DFA_DIS_XX.npy,1040,DFA,DIS,XX,dev
data\processed\1045_DFA_SAD_XX.npy,1045,DFA,SAD,XX,dev
data\processed\1022_DFA_SAD_XX.npy,1022,DFA,SAD,XX,dev
data\processed\1016_DFA_FEA_XX.npy,1016,DFA,FEA,XX,dev
data\processed\1014_DFA_ANG_XX.npy,1014,DFA,ANG,XX,dev
data\processed\1042_DFA_HAP_XX.npy,1042,DFA,HAP,XX,dev
data\processed\1034_DFA_HAP_XX.npy,1034,DFA,HAP,XX,dev
data\processed\1024_DFA_SAD_XX.npy,1024,DFA,SAD,XX,dev
data\processed\1036_DFA_DIS_XX.npy,1036,DFA,DIS,XX,dev
data\processed\1020_DFA_NEU_XX.npy,1020,DFA,NEU,XX,dev
data\processed\1039_DFA_HAP_XX.npy,1039,DFA,HAP,XX,dev
data\processed\1037_DFA_DIS_XX.npy,1037,DFA,DIS,XX,dev
data\processed\1046_DFA_SAD_XX.npy,1046,DFA,SAD,XX,dev
data\processed\1012_DFA_FEA_XX.npy,1012,DFA,FEA,XX,dev
data\processed\1015_DFA_ANG_XX.npy,1015,DFA,ANG,XX,dev
data\processed\1047_DFA_DIS_XX.npy,1047,DFA,DIS,XX,dev
data\processed\1001_DFA_FEA_XX.npy,1001,DFA,FEA,XX,dev
data\processed\1037_DFA_NEU_XX.npy,1037,DFA,NEU,XX,dev
data\processed\1011_DFA_HAP_XX.npy,1011,DFA,HAP,XX,dev
data\processed\1043_DFA_HAP_XX.npy,1043,DFA,HAP,XX,dev
data\processed\1021_DFA_HAP_XX.npy,1021,DFA,HAP,XX,dev
data\processed\1003_DFA_FEA_XX.npy,1003,DFA,FEA,XX,dev
data\processed\1016_DFA_ANG_XX.npy,1016,DFA,ANG,XX,dev
data\processed\1034_DFA_FEA_XX.npy,1034,DFA,FEA,XX,dev
data\processed\1018_DFA_ANG_XX.npy,1018,DFA,ANG,XX,dev
data\processed\1020_DFA_SAD_XX.npy,1020,DFA,SAD,XX,dev
data\processed\1048_DFA_DIS_XX.npy,1048,DFA,DIS,XX,dev
data\processed\1021_DFA_ANG_XX.npy,1021,DFA,ANG,XX,dev
data\processed\1043_DFA_SAD_XX.npy,1043,DFA,SAD,XX,dev
data\processed\1030_DFA_HAP_XX.npy,1030,DFA,HAP,XX,dev
data\processed\1007_DFA_SAD_XX.npy,1007,DFA,SAD,XX,dev
data\processed\1017_DFA_HAP_XX.npy,1017,DFA,HAP,XX,dev
data\processed\1043_DFA_DIS_XX.npy,1043,DFA,DIS,XX,dev
data\processed\1005_DFA_ANG_XX.npy,1005,DFA,ANG,XX,dev
data\processed\1017_DFA_SAD_XX.npy,1017,DFA,SAD,XX,dev
data\processed\1030_DFA_FEA_XX.npy,1030,DFA,FEA,XX,dev
data\processed\1028_DFA_SAD_XX.npy,1028,DFA,SAD,XX,dev
data\processed\1014_DFA_FEA_XX.npy,1014,DFA,FEA,XX,dev
data\processed\1010_DFA_ANG_XX.npy,1010,DFA,ANG,XX,dev
data\processed\1007_DFA_NEU_XX.npy,1007,DFA,NEU,XX,dev
data\processed\1010_DFA_HAP_XX.npy,1010,DFA,HAP,XX,dev
